village_id,ndvi_2019,ndvi_2024,ndvi_delta,ndvi_delta_abs
VIL000165,0.6417,0.8045,0.1628,0.1628
VIL000166,0.5123,0.5252,0.0129,0.0129
VIL000167,0.3954,0.4291,0.0337,0.0337
VIL000168,0.5918,0.5031,-0.0888,0.0888
VIL000169,0.3195,0.3328,0.0133,0.0133
VIL000170,0.3236,0.3037,-0.02,0.02
VIL000171,0.3882,0.5105,0.1223,0.1223
VIL000172,0.4015,0.4721,0.0707,0.0707
VIL000173,0.4214,0.416,-0.0054,0.0054
VIL000174,0.3846,0.391,0.0064,0.0064
VIL000175,0.435,0.3289,-0.1061,0.1061
VIL000176,0.6709,0.7172,0.0463,0.0463
VIL000177,0.2267,0.1473,-0.0794,0.0794
VIL000178,0.2801,0.1239,-0.1562,0.1562
VIL000179,0.5568,0.6105,0.0537,0.0537
VIL000180,0.6358,0.6515,0.0157,0.0157
VIL000181,0.2686,0.2944,0.0258,0.0258
VIL000182,0.414,0.5149,0.1008,0.1008
VIL000183,0.4274,0.5096,0.0822,0.0822
VIL000184,0.4349,0.3561,-0.0788,0.0788
VIL000185,0.5099,0.5193,0.0094,0.0094
VIL000186,0.5515,0.6,0.0485,0.0485
VIL000187,0.2811,0.4858,0.2047,0.2047
VIL000188,0.3124,0.4527,0.1402,0.1402
VIL000189,0.2272,0.2286,0.0013,0.0013
VIL000190,0.274,0.3411,0.0671,0.0671
VIL000191,0.6298,0.658,0.0282,0.0282
VIL000192,0.5554,0.5417,-0.0137,0.0137
VIL000193,0.3836,0.3542,-0.0293,0.0293
VIL000194,0.4305,0.4633,0.0328,0.0328
VIL000195,0.7233,0.7717,0.0484,0.0484
VIL000196,0.6951,0.7326,0.0375,0.0375
VIL000197,0.4354,0.4119,-0.0235,0.0235
VIL000198,0.4901,0.3932,-0.0969,0.0969
VIL000199,0.6552,0.5429,-0.1122,0.1122
VIL000200,0.7165,0.6929,-0.0236,0.0236
VIL000201,0.4935,0.4877,-0.0058,0.0058
VIL000202,0.4917,0.4645,-0.0271,0.0271
VIL000203,0.4508,0.4963,0.0455,0.0455
VIL000204,0.4468,0.4765,0.0298,0.0298
VIL000205,0.2924,0.202,-0.0904,0.0904
VIL000206,0.4076,0.403,-0.0047,0.0047
VIL000207,0.7158,0.7656,0.0498,0.0498
VIL000208,0.5282,0.4527,-0.0755,0.0755
VIL000209,0.5076,0.5237,0.016,0.016
VIL000210,0.714,0.836,0.122,0.122
VIL000211,0.4919,0.6049,0.1129,0.1129
VIL000212,0.6299,0.6725,0.0426,0.0426
VIL000213,0.5521,0.6107,0.0587,0.0587
VIL000214,0.2015,0.2701,0.0686,0.0686
VIL000215,0.4766,0.5743,0.0977,0.0977
VIL000216,0.5784,0.5489,-0.0295,0.0295
VIL000217,0.2261,0.2944,0.0683,0.0683
VIL000218,0.3607,0.3712,0.0105,0.0105
VIL000219,0.5767,0.4439,-0.1328,0.1328
VIL000220,0.6714,0.7105,0.039,0.039
VIL000221,0.2432,0.4838,0.2406,0.2406
VIL000222,0.4241,0.3982,-0.0259,0.0259
VIL000223,0.7037,0.7271,0.0234,0.0234
VIL000224,0.3663,0.4282,0.0619,0.0619
VIL000225,0.4553,0.4522,-0.003,0.003
VIL000226,0.5936,0.5429,-0.0508,0.0508
VIL000227,0.3596,0.4529,0.0932,0.0932
VIL000228,0.6047,0.4578,-0.1469,0.1469
VIL000229,0.4201,0.4805,0.0603,0.0603
VIL000230,0.3721,0.3604,-0.0117,0.0117
VIL000231,0.4026,0.3551,-0.0475,0.0475
VIL000232,0.2807,0.204,-0.0767,0.0767
VIL000233,0.5122,0.6551,0.143,0.143
VIL000234,0.662,0.6635,0.0015,0.0015
VIL000235,0.2265,0.3224,0.0958,0.0958
VIL000236,0.662,0.595,-0.067,0.067
VIL000237,0.5572,0.7383,0.1811,0.1811
VIL000238,0.4587,0.3843,-0.0745,0.0745
VIL000239,0.7366,0.7581,0.0215,0.0215
VIL000240,0.5593,0.5303,-0.029,0.029
VIL000241,0.2955,0.3328,0.0373,0.0373
VIL000242,0.3392,0.2681,-0.0711,0.0711
VIL000243,0.6899,0.6293,-0.0606,0.0606
VIL000244,0.2388,0.2252,-0.0136,0.0136
VIL000245,0.4037,0.3213,-0.0824,0.0824
VIL000246,0.5314,0.542,0.0106,0.0106
VIL000247,0.7413,0.7984,0.0571,0.0571
VIL000248,0.7049,0.6822,-0.0227,0.0227
VIL000249,0.3555,0.64,0.2846,0.2846
VIL000250,0.2112,0.1823,-0.0289,0.0289
VIL000251,0.5922,0.6976,0.1054,0.1054
VIL000252,0.7332,0.6106,-0.1226,0.1226
VIL000253,0.2798,0.1836,-0.0961,0.0961
VIL000254,0.204,0.2712,0.0672,0.0672
VIL000255,0.5557,0.6201,0.0644,0.0644
VIL000256,0.7423,0.8499,0.1075,0.1075
VIL000257,0.7113,0.7274,0.0161,0.0161
VIL000258,0.5983,0.7356,0.1373,0.1373
VIL000259,0.6842,0.8819,0.1977,0.1977
VIL000260,0.2115,0.3542,0.1426,0.1426
VIL000261,0.5383,0.5577,0.0195,0.0195
VIL000262,0.2147,0.3613,0.1466,0.1466
VIL000263,0.5987,0.6257,0.0269,0.0269
VIL000264,0.4898,0.6294,0.1397,0.1397
VIL000265,0.7012,0.6712,-0.03,0.03
VIL000266,0.3514,0.4406,0.0892,0.0892
VIL000267,0.2263,0.1919,-0.0343,0.0343
VIL000268,0.2204,0.3575,0.1371,0.1371
VIL000269,0.3041,0.4171,0.113,0.113
VIL000270,0.5597,0.5581,-0.0016,0.0016
VIL000271,0.6373,0.6243,-0.013,0.013
VIL000272,0.4758,0.4497,-0.0261,0.0261
VIL000273,0.6024,0.7283,0.1259,0.1259
VIL000274,0.7326,0.7374,0.0048,0.0048
VIL000275,0.4613,0.3941,-0.0672,0.0672
VIL000276,0.4992,0.4934,-0.0058,0.0058
VIL000277,0.7368,0.7082,-0.0286,0.0286
VIL000278,0.7071,0.652,-0.0551,0.0551
VIL000279,0.5261,0.5272,0.001,0.001
VIL000280,0.6809,0.6073,-0.0737,0.0737
VIL000281,0.2184,0.1225,-0.0959,0.0959
VIL000282,0.2959,0.3698,0.0739,0.0739
VIL000283,0.4897,0.5458,0.0561,0.0561
VIL000284,0.5842,0.6403,0.0561,0.0561
VIL000285,0.4191,0.455,0.0359,0.0359
VIL000286,0.4353,0.539,0.1037,0.1037
VIL000287,0.2277,0.105,-0.1226,0.1226
VIL000288,0.2842,0.3047,0.0205,0.0205
VIL000289,0.2899,0.3522,0.0622,0.0622
VIL000290,0.6761,0.6344,-0.0417,0.0417
VIL000291,0.4789,0.4902,0.0113,0.0113
VIL000292,0.2172,0.2017,-0.0155,0.0155
VIL000293,0.5316,0.4496,-0.082,0.082
VIL000294,0.7198,0.6444,-0.0754,0.0754
VIL000295,0.5238,0.474,-0.0498,0.0498
VIL000296,0.5269,0.56,0.0331,0.0331
VIL000297,0.4262,0.4926,0.0664,0.0664
VIL000298,0.5209,0.4967,-0.0242,0.0242
VIL000299,0.2985,0.0894,-0.2091,0.2091
VIL000300,0.544,0.4278,-0.1162,0.1162
VIL000301,0.5822,0.4997,-0.0825,0.0825
VIL000302,0.5578,0.5341,-0.0237,0.0237
VIL000303,0.6172,0.6435,0.0263,0.0263
VIL000304,0.5538,0.5581,0.0042,0.0042
VIL000305,0.4649,0.4481,-0.0167,0.0167
VIL000306,0.4766,0.5723,0.0957,0.0957
VIL000307,0.4818,0.5997,0.1179,0.1179
VIL000308,0.2002,0.1505,-0.0498,0.0498
VIL000309,0.5758,0.6406,0.0648,0.0648
VIL000310,0.6269,0.6655,0.0386,0.0386
VIL000311,0.6728,0.7371,0.0643,0.0643
VIL000312,0.7306,0.813,0.0825,0.0825
VIL000313,0.6536,0.7734,0.1198,0.1198
VIL000314,0.6069,0.4973,-0.1095,0.1095
VIL000315,0.7029,0.7368,0.0339,0.0339
VIL000316,0.4275,0.4176,-0.01,0.01
VIL000317,0.6394,0.5222,-0.1172,0.1172
VIL000318,0.6958,0.7734,0.0776,0.0776
VIL000319,0.6686,0.7371,0.0685,0.0685
VIL000320,0.4374,0.3934,-0.044,0.044
VIL000321,0.5817,0.5772,-0.0045,0.0045
VIL000322,0.4319,0.5426,0.1106,0.1106
VIL000323,0.2944,0.4222,0.1278,0.1278
VIL000324,0.2994,0.2791,-0.0203,0.0203
VIL000325,0.6767,0.7679,0.0912,0.0912
VIL000326,0.2919,0.1508,-0.141,0.141
VIL000327,0.6605,0.6209,-0.0396,0.0396
VIL000328,0.365,0.3916,0.0266,0.0266
VIL000329,0.2489,0.2665,0.0176,0.0176
VIL000330,0.2289,0.1593,-0.0696,0.0696
VIL000331,0.6619,0.6238,-0.038,0.038
VIL000332,0.6288,0.7651,0.1364,0.1364
VIL000333,0.2434,0.3182,0.0748,0.0748
VIL000334,0.2059,0.2536,0.0477,0.0477
VIL000335,0.3262,0.3673,0.0411,0.0411
VIL000336,0.3715,0.4111,0.0397,0.0397
VIL000337,0.3149,0.4783,0.1634,0.1634
VIL000338,0.3637,0.3913,0.0276,0.0276
VIL000339,0.4533,0.4326,-0.0207,0.0207
VIL000340,0.5309,0.5258,-0.0051,0.0051
VIL000341,0.2057,0.0933,-0.1124,0.1124
VIL000342,0.4365,0.5266,0.0901,0.0901
VIL000343,0.506,0.5636,0.0575,0.0575
VIL000344,0.6989,0.7566,0.0577,0.0577
VIL000345,0.348,0.408,0.06,0.06
VIL000346,0.673,0.7958,0.1228,0.1228
VIL000347,0.4907,0.5396,0.0489,0.0489
VIL000348,0.2677,0.3207,0.053,0.053
VIL000349,0.6227,0.7409,0.1182,0.1182
VIL000350,0.7301,0.7938,0.0637,0.0637
VIL000351,0.5861,0.6107,0.0247,0.0247
VIL000352,0.6701,0.6556,-0.0145,0.0145
VIL000353,0.5495,0.6145,0.0649,0.0649
VIL000354,0.4685,0.3545,-0.1139,0.1139
VIL000355,0.6232,0.6412,0.018,0.018
VIL000356,0.5168,0.3767,-0.1401,0.1401
VIL000357,0.6936,0.6407,-0.0529,0.0529
VIL000358,0.4148,0.341,-0.0737,0.0737
VIL000359,0.4406,0.4843,0.0437,0.0437
VIL000360,0.328,0.4713,0.1433,0.1433
VIL000361,0.3754,0.3069,-0.0686,0.0686
VIL000362,0.3687,0.4458,0.0771,0.0771
VIL000363,0.2046,0.1594,-0.0452,0.0452
VIL000364,0.4783,0.4459,-0.0324,0.0324
VIL000365,0.4089,0.3727,-0.0363,0.0363
VIL000366,0.601,0.7204,0.1194,0.1194
VIL000367,0.6659,0.6528,-0.013,0.013
VIL000368,0.4017,0.4839,0.0822,0.0822
VIL000369,0.3584,0.3337,-0.0246,0.0246
VIL000370,0.4437,0.4831,0.0394,0.0394
VIL000371,0.3309,0.3244,-0.0065,0.0065
VIL000372,0.2355,0.3265,0.091,0.091
VIL000373,0.7074,0.6495,-0.0579,0.0579
VIL000374,0.7272,0.8922,0.165,0.165
VIL000375,0.654,0.6825,0.0285,0.0285
VIL000376,0.7385,0.6457,-0.0928,0.0928
VIL000377,0.7044,0.8348,0.1304,0.1304
VIL000378,0.3467,0.2611,-0.0856,0.0856
VIL000379,0.2479,0.3838,0.1359,0.1359
VIL000380,0.6429,0.6406,-0.0023,0.0023
VIL000381,0.4043,0.4846,0.0802,0.0802
VIL000382,0.4209,0.4648,0.0439,0.0439
VIL000383,0.7436,0.6494,-0.0942,0.0942
VIL000384,0.5987,0.6137,0.015,0.015
VIL000385,0.4815,0.5295,0.048,0.048
VIL000386,0.6941,0.7923,0.0982,0.0982
VIL000387,0.687,0.6706,-0.0164,0.0164
VIL000388,0.7041,0.871,0.167,0.167
VIL000389,0.4581,0.5686,0.1105,0.1105
VIL000390,0.6244,0.5467,-0.0778,0.0778
VIL000391,0.3908,0.4213,0.0305,0.0305
VIL000392,0.3257,0.3115,-0.0142,0.0142
VIL000393,0.5085,0.549,0.0405,0.0405
VIL000394,0.6739,0.5873,-0.0866,0.0866
VIL000395,0.705,0.7486,0.0436,0.0436
VIL000396,0.2957,0.2205,-0.0752,0.0752
VIL000397,0.7317,0.802,0.0703,0.0703
VIL000398,0.3937,0.3654,-0.0283,0.0283
VIL000399,0.5752,0.7964,0.2213,0.2213
VIL000400,0.6131,0.7063,0.0931,0.0931
VIL000401,0.3354,0.2711,-0.0643,0.0643
VIL000402,0.5408,0.5779,0.0371,0.0371
VIL000403,0.6741,0.6519,-0.0222,0.0222
VIL000404,0.473,0.5156,0.0426,0.0426
VIL000405,0.7467,0.6692,-0.0776,0.0776
VIL000406,0.3029,0.2897,-0.0132,0.0132
VIL000407,0.6822,0.7429,0.0607,0.0607
VIL000408,0.6114,0.6246,0.0132,0.0132
VIL000409,0.4281,0.4418,0.0137,0.0137
VIL000410,0.6124,0.6038,-0.0086,0.0086
VIL000411,0.4827,0.4347,-0.048,0.048
VIL000412,0.5145,0.4803,-0.0343,0.0343
VIL000413,0.5418,0.4578,-0.084,0.084
VIL000414,0.3396,0.2849,-0.0547,0.0547
VIL000415,0.6207,0.5335,-0.0872,0.0872
VIL000416,0.3,0.2996,-0.0004,0.0004
VIL000417,0.3152,0.5091,0.1939,0.1939
VIL000418,0.6714,0.6491,-0.0223,0.0223
VIL000419,0.3894,0.3846,-0.0049,0.0049
VIL000420,0.585,0.689,0.104,0.104
VIL000421,0.3442,0.3003,-0.0438,0.0438
VIL000422,0.5481,0.5924,0.0443,0.0443
VIL000423,0.6044,0.577,-0.0274,0.0274
VIL000424,0.2862,0.4737,0.1875,0.1875
VIL000425,0.6925,0.6566,-0.0358,0.0358
VIL000426,0.4348,0.5997,0.165,0.165
VIL000427,0.4955,0.5197,0.0242,0.0242
VIL000428,0.7021,0.7306,0.0285,0.0285
VIL000429,0.5639,0.6,0.0361,0.0361
VIL000430,0.5559,0.7096,0.1537,0.1537
VIL000431,0.2101,0.2284,0.0184,0.0184
VIL000432,0.6545,0.721,0.0665,0.0665
VIL000433,0.6486,0.6967,0.0481,0.0481
VIL000434,0.7148,0.6881,-0.0267,0.0267
VIL000435,0.2138,0.2122,-0.0016,0.0016
VIL000436,0.4047,0.4868,0.082,0.082
VIL000437,0.7395,0.847,0.1074,0.1074
VIL000438,0.6587,0.699,0.0403,0.0403
VIL000439,0.497,0.467,-0.03,0.03
VIL000440,0.4408,0.4957,0.0549,0.0549
VIL000441,0.2492,0.191,-0.0582,0.0582
VIL000442,0.4735,0.5295,0.056,0.056
VIL000443,0.6819,0.6666,-0.0153,0.0153
VIL000444,0.2575,0.298,0.0405,0.0405
VIL000445,0.5076,0.4509,-0.0568,0.0568
VIL000446,0.6003,0.7478,0.1475,0.1475
VIL000447,0.2768,0.2336,-0.0433,0.0433
VIL000448,0.4473,0.4708,0.0234,0.0234
VIL000449,0.4044,0.4401,0.0357,0.0357
VIL000450,0.6375,0.6867,0.0492,0.0492
VIL000451,0.6717,0.7782,0.1065,0.1065
VIL000452,0.6803,0.6641,-0.0163,0.0163
VIL000453,0.5818,0.7381,0.1563,0.1563
VIL000454,0.4209,0.4125,-0.0084,0.0084
VIL000455,0.4211,0.4838,0.0627,0.0627
VIL000456,0.2893,0.2655,-0.0238,0.0238
VIL000457,0.4395,0.4713,0.0319,0.0319
VIL000458,0.4667,0.4327,-0.034,0.034
VIL000459,0.3441,0.4554,0.1113,0.1113
VIL000460,0.6632,0.5644,-0.0989,0.0989
VIL000461,0.6118,0.5476,-0.0641,0.0641
VIL000462,0.2223,0.3192,0.0969,0.0969
VIL000463,0.5567,0.597,0.0403,0.0403
VIL000464,0.4539,0.4183,-0.0356,0.0356
VIL000465,0.599,0.5883,-0.0107,0.0107
VIL000466,0.2973,0.3838,0.0865,0.0865
VIL000467,0.2908,0.2488,-0.042,0.042
VIL000468,0.2152,0.2307,0.0154,0.0154
VIL000469,0.3863,0.3862,-0.0001,0.0001
VIL000470,0.2727,0.1722,-0.1004,0.1004
VIL000471,0.6087,0.5903,-0.0183,0.0183
VIL000472,0.3048,0.1933,-0.1114,0.1114
VIL000473,0.7027,0.6206,-0.0821,0.0821
VIL000474,0.6488,0.5917,-0.0571,0.0571
VIL000475,0.5733,0.5839,0.0107,0.0107
VIL000476,0.7042,0.5575,-0.1468,0.1468
VIL000477,0.2695,0.2765,0.007,0.007
VIL000478,0.2001,0.274,0.0739,0.0739
VIL000479,0.7336,0.6719,-0.0617,0.0617
VIL000480,0.5346,0.5786,0.044,0.044
VIL000481,0.6975,0.733,0.0355,0.0355
VIL000482,0.5819,0.7581,0.1762,0.1762
VIL000483,0.4677,0.3767,-0.091,0.091
VIL000484,0.6824,0.7349,0.0525,0.0525
VIL000485,0.7403,0.6896,-0.0507,0.0507
VIL000486,0.584,0.4818,-0.1022,0.1022
VIL000487,0.4947,0.5242,0.0296,0.0296
VIL000488,0.4513,0.4809,0.0296,0.0296
VIL000489,0.5089,0.4391,-0.0698,0.0698
VIL000490,0.5345,0.6529,0.1183,0.1183
VIL000491,0.6318,0.4933,-0.1385,0.1385
VIL000492,0.6423,0.8449,0.2027,0.2027
VIL000493,0.3723,0.4213,0.049,0.049
VIL000494,0.5784,0.551,-0.0274,0.0274
VIL000495,0.634,0.6389,0.0048,0.0048
VIL000496,0.2418,0.2425,0.0008,0.0008
VIL000497,0.7477,0.7128,-0.0349,0.0349
VIL000498,0.5181,0.5215,0.0034,0.0034
VIL000499,0.6643,0.7653,0.1009,0.1009
VIL000500,0.5717,0.4373,-0.1344,0.1344
VIL000501,0.4901,0.4586,-0.0315,0.0315
VIL000502,0.7439,0.6907,-0.0532,0.0532
VIL000503,0.2105,0.2539,0.0434,0.0434
VIL000504,0.3371,0.4722,0.1351,0.1351
VIL000505,0.6433,0.8108,0.1675,0.1675
VIL000506,0.4542,0.4579,0.0037,0.0037
VIL000507,0.3726,0.4608,0.0882,0.0882
VIL000508,0.2192,0.2376,0.0184,0.0184
VIL000509,0.2735,0.3934,0.1199,0.1199
VIL000510,0.391,0.3507,-0.0403,0.0403
VIL000511,0.3261,0.3941,0.068,0.068
VIL000512,0.3984,0.5289,0.1304,0.1304
VIL000513,0.7016,0.6739,-0.0278,0.0278
VIL000514,0.4218,0.4876,0.0657,0.0657
VIL000515,0.2139,0.2468,0.0329,0.0329
VIL000516,0.503,0.4327,-0.0703,0.0703
VIL000517,0.5068,0.5929,0.0861,0.0861
VIL000518,0.357,0.3211,-0.0359,0.0359
VIL000519,0.7062,0.8109,0.1047,0.1047
VIL000520,0.3095,0.2516,-0.0579,0.0579
VIL000521,0.5708,0.6592,0.0884,0.0884
VIL000522,0.4779,0.5921,0.1143,0.1143
VIL000523,0.2819,0.33,0.0481,0.0481
VIL000524,0.3448,0.4007,0.0559,0.0559
VIL000525,0.2648,0.2678,0.003,0.003
VIL000526,0.6011,0.6001,-0.001,0.001
VIL000527,0.7186,0.7076,-0.011,0.011
VIL000528,0.3101,0.4235,0.1134,0.1134
VIL000529,0.603,0.5476,-0.0554,0.0554
VIL000530,0.736,0.7784,0.0424,0.0424
VIL000531,0.5404,0.4087,-0.1318,0.1318
VIL000532,0.4954,0.4504,-0.045,0.045
VIL000533,0.7033,0.7219,0.0186,0.0186
VIL000534,0.4201,0.5525,0.1324,0.1324
