village_id,mgnregs_days_per_hh
VIL000141,24.9
VIL000142,50.7
VIL000143,54.5
VIL000144,31.2
VIL000145,25.0
VIL000146,59.0
VIL000147,56.0
VIL000148,8.7
VIL000149,51.1
VIL000150,36.8
VIL000151,1.0
VIL000152,67.0
VIL000153,89.9
VIL000154,7.2
VIL000155,3.0
VIL000156,90.6
VIL000157,67.6
VIL000158,7.3
VIL000159,60.6
VIL000160,19.6
VIL000161,53.1
VIL000162,54.0
VIL000163,97.5
VIL000164,49.4
VIL000165,80.0
VIL000166,44.4
VIL000167,18.4
VIL000168,28.6
VIL000169,48.9
VIL000170,52.9
VIL000171,32.8
VIL000172,94.7
VIL000173,44.2
VIL000174,100.0
VIL000175,15.0
VIL000176,22.5
VIL000177,35.2
VIL000178,70.3
VIL000179,19.3
VIL000180,0.0
VIL000181,25.3
VIL000182,50.7
VIL000183,39.4
VIL000184,21.8
VIL000185,98.9
VIL000186,50.0
VIL000187,100.0
VIL000188,90.0
VIL000189,15.4
VIL000190,36.5
VIL000191,23.8
VIL000192,32.5
VIL000193,67.1
VIL000194,19.6
VIL000195,49.3
VIL000196,100.0
VIL000197,36.7
VIL000198,29.2
VIL000199,93.1
VIL000200,65.1
VIL000201,41.6
VIL000202,27.3
VIL000203,31.2
VIL000204,81.7
VIL000205,30.9
VIL000206,25.5
VIL000207,38.4
VIL000208,31.7
VIL000209,33.9
VIL000210,78.8
VIL000211,48.4
VIL000212,47.6
VIL000213,7.5
VIL000214,25.0
VIL000215,35.3
VIL000216,56.0
VIL000217,87.9
VIL000218,65.5
VIL000219,18.5
VIL000220,76.8
VIL000221,49.7
VIL000222,26.3
VIL000223,52.6
VIL000224,17.6
VIL000225,57.0
VIL000226,7.9
VIL000227,41.1
VIL000228,31.4
VIL000229,50.0
VIL000230,86.8
VIL000231,55.6
VIL000232,54.2
VIL000233,62.7
VIL000234,26.3
VIL000235,87.5
VIL000236,52.5
VIL000237,38.9
VIL000238,79.0
VIL000239,27.4
VIL000240,85.2
VIL000241,27.2
VIL000242,9.8
VIL000243,74.1
VIL000244,36.1
VIL000245,81.5
VIL000246,52.9
VIL000247,34.2
VIL000248,27.1
VIL000249,36.1
VIL000250,24.5
VIL000251,30.2
VIL000252,27.1
VIL000253,19.0
VIL000254,37.1
VIL000255,80.3
VIL000256,96.9
VIL000257,26.8
VIL000258,94.1
VIL000259,19.5
VIL000260,78.6
VIL000261,41.0
VIL000262,40.2
VIL000263,54.2
VIL000264,37.9
VIL000265,78.8
VIL000266,50.8
VIL000267,34.5
VIL000268,13.3
VIL000269,14.9
VIL000270,94.4
VIL000271,89.3
VIL000272,9.4
VIL000273,38.0
VIL000274,53.0
VIL000275,46.1
VIL000276,72.1
VIL000277,79.3
VIL000278,39.5
VIL000279,76.4
VIL000280,28.2
VIL000281,36.0
VIL000282,21.1
VIL000283,41.8
VIL000284,62.9
VIL000285,38.1
VIL000286,85.3
VIL000287,51.4
VIL000288,13.6
VIL000289,59.3
VIL000290,0.0
VIL000291,10.3
VIL000292,96.0
VIL000293,38.9
VIL000294,39.9
VIL000295,100.0
VIL000296,72.4
VIL000297,42.8
VIL000298,91.7
VIL000299,5.7
VIL000300,38.0
VIL000301,87.2
VIL000302,63.3
VIL000303,78.1
VIL000304,44.1
VIL000305,31.3
VIL000306,68.3
VIL000307,54.8
VIL000308,70.0
VIL000309,17.6
VIL000310,78.8
VIL000311,36.7
VIL000312,10.7
VIL000313,16.9
VIL000314,41.1
VIL000315,64.6
VIL000316,16.0
VIL000317,38.2
VIL000318,20.6
VIL000319,32.0
VIL000320,50.8
VIL000321,12.8
VIL000322,65.5
VIL000323,7.1
VIL000324,61.3
VIL000325,64.2
VIL000326,66.8
VIL000327,51.6
VIL000328,60.8
VIL000329,46.6
VIL000330,33.2
VIL000331,93.6
VIL000332,69.4
VIL000333,24.1
VIL000334,48.2
VIL000335,36.4
VIL000336,28.0
VIL000337,53.1
VIL000338,97.7
VIL000339,31.8
VIL000340,68.5
VIL000341,40.8
VIL000342,16.9
VIL000343,93.0
VIL000344,48.5
VIL000345,73.3
VIL000346,37.5
VIL000347,26.5
VIL000348,31.4
VIL000349,37.1
VIL000350,51.7
VIL000351,36.9
VIL000352,62.9
VIL000353,9.0
VIL000354,38.0
VIL000355,78.6
VIL000356,15.3
VIL000357,39.9
VIL000358,90.9
VIL000359,100.0
VIL000360,20.7
VIL000361,97.9
VIL000362,95.0
VIL000363,97.3
VIL000364,80.7
VIL000365,44.1
VIL000366,33.6
VIL000367,18.1
VIL000368,20.5
VIL000369,29.9
VIL000370,63.2
VIL000371,44.7
VIL000372,8.1
VIL000373,38.2
VIL000374,25.9
VIL000375,21.5
VIL000376,15.4
VIL000377,0.7
VIL000378,63.6
VIL000379,22.1
VIL000380,0.0
VIL000381,56.9
VIL000382,90.4
VIL000383,22.1
VIL000384,63.8
VIL000385,82.5
VIL000386,41.0
VIL000387,12.5
VIL000388,68.6
VIL000389,93.1
VIL000390,5.9
VIL000391,51.1
VIL000392,58.2
VIL000393,57.7
VIL000394,19.6
VIL000395,100.0
VIL000396,28.4
VIL000397,46.3
VIL000398,61.0
VIL000399,47.9
VIL000400,0.3
VIL000401,10.4
VIL000402,86.7
VIL000403,89.5
VIL000404,22.0
VIL000405,1.4
VIL000406,34.2
VIL000407,46.6
VIL000408,29.7
VIL000409,46.4
VIL000410,51.3
VIL000411,1.7
VIL000412,35.8
VIL000413,56.9
VIL000414,81.8
VIL000415,60.4
VIL000416,62.9
VIL000417,8.1
VIL000418,65.7
VIL000419,83.7
VIL000420,56.1
VIL000421,95.0
VIL000422,14.3
VIL000423,76.6
VIL000424,29.4
VIL000425,71.2
VIL000426,76.6
VIL000427,8.6
VIL000428,19.5
VIL000429,20.2
VIL000430,12.1
VIL000431,70.7
VIL000432,85.7
VIL000433,36.5
VIL000434,17.4
VIL000435,42.2
VIL000436,53.6
VIL000437,85.4
VIL000438,17.7
VIL000439,56.3
VIL000440,18.3
VIL000441,7.1
VIL000442,47.5
VIL000443,16.4
VIL000444,62.1
VIL000445,7.6
VIL000446,36.4
VIL000447,43.2
VIL000448,59.0
VIL000449,0.0
VIL000450,90.4
VIL000451,76.2
VIL000452,35.8
VIL000453,52.6
VIL000454,60.1
VIL000455,66.0
VIL000456,4.6
VIL000457,49.1
VIL000458,33.5
VIL000459,21.0
VIL000460,39.5
VIL000461,46.7
VIL000462,77.7
VIL000463,63.2
VIL000464,49.0
VIL000465,24.6
VIL000466,55.7
VIL000467,32.5
VIL000468,56.2
VIL000469,17.3
VIL000470,18.0
VIL000471,12.9
VIL000472,39.4
VIL000473,32.0
VIL000474,84.5
VIL000475,12.8
VIL000476,30.2
VIL000477,54.0
VIL000478,59.4
VIL000479,78.9
VIL000480,99.1
VIL000481,39.1
VIL000482,87.2
VIL000483,68.8
VIL000484,53.7
VIL000485,36.0
VIL000486,18.4
VIL000487,9.5
VIL000488,28.5
VIL000489,9.7
VIL000490,43.7
VIL000491,88.7
VIL000492,9.4
VIL000493,31.0
VIL000494,88.3
VIL000495,26.6
VIL000496,85.9
VIL000497,18.2
VIL000498,3.6
VIL000499,29.1
VIL000500,15.7
VIL000501,76.0
VIL000502,31.7
VIL000503,88.6
VIL000504,33.8
VIL000505,16.6
VIL000506,31.6
VIL000507,56.5
VIL000508,1.5
VIL000509,91.1
VIL000510,100.0
VIL000511,32.8
VIL000512,100.0
VIL000513,56.0
VIL000514,60.1
VIL000515,36.4
VIL000516,40.3
VIL000517,78.7
VIL000518,33.9
VIL000519,24.8
VIL000520,57.2
VIL000521,51.6
VIL000522,8.6
VIL000523,36.9
VIL000524,54.0
VIL000525,100.0
VIL000526,44.3
VIL000527,27.8
VIL000528,30.2
VIL000529,42.8
VIL000530,75.7
VIL000531,30.4
VIL000532,31.5
VIL000533,77.7
VIL000534,53.8
VIL000535,34.1
VIL000536,33.3
VIL000537,50.1
VIL000538,73.8
VIL000539,27.0
VIL000540,3.2
VIL000541,87.8
VIL000542,0.0
VIL000543,70.7
VIL000544,51.9
VIL000545,17.0
VIL000546,41.6
VIL000547,51.0
VIL000548,51.0
VIL000549,44.2
VIL000550,72.6
VIL000551,40.8
VIL000552,83.4
VIL000553,99.1
VIL000554,31.1
VIL000555,38.9
VIL000556,35.0
VIL000557,12.9
VIL000558,92.7
VIL000559,55.0
VIL000560,43.7
VIL000561,53.1
VIL000562,23.0
VIL000563,25.7
VIL000564,40.8
VIL000565,86.5
VIL000566,26.0
VIL000567,84.3
VIL000568,10.2
VIL000569,27.0
VIL000570,53.8
VIL000571,95.9
VIL000572,17.7
VIL000573,60.9
VIL000574,42.1
VIL000575,9.2
VIL000576,18.2
VIL000577,39.4
VIL000578,57.1
VIL000579,41.6
VIL000580,98.3
VIL000581,59.4
VIL000582,97.7
VIL000583,32.1
VIL000584,75.9
VIL000585,24.3
VIL000586,13.1
VIL000587,58.0
VIL000588,42.4
VIL000589,30.2
VIL000590,9.1
VIL000591,78.9
VIL000592,41.7
VIL000593,48.4
VIL000594,42.6
VIL000595,32.3
VIL000596,92.9
VIL000597,38.8
VIL000598,40.9
VIL000599,32.6
VIL000600,20.1
VIL000601,36.0
VIL000602,21.1
VIL000603,42.4
VIL000604,32.1
VIL000605,73.9
VIL000606,10.1
VIL000607,31.4
VIL000608,100.0
VIL000609,63.2
VIL000610,30.9
VIL000611,87.8
VIL000612,88.2
VIL000613,9.6
VIL000614,18.9
VIL000615,28.0
VIL000616,46.0
VIL000617,18.5
VIL000618,85.0
VIL000619,67.3
VIL000620,42.2
VIL000621,27.5
VIL000622,37.5
VIL000623,64.3
VIL000624,66.0
VIL000625,31.4
VIL000626,61.6
VIL000627,90.9
VIL000628,37.6
VIL000629,52.8
VIL000630,39.4
VIL000631,0.0
VIL000632,83.9
VIL000633,66.0
VIL000634,45.1
VIL000635,47.4
VIL000636,47.7
VIL000637,28.5
VIL000638,33.1
VIL000639,24.0
VIL000640,36.5
VIL000641,12.4
VIL000642,27.6
VIL000643,15.7
VIL000644,19.5
VIL000645,9.6
VIL000646,41.2
VIL000647,39.9
VIL000648,81.0
VIL000649,100.0
VIL000650,0.0
VIL000651,30.0
VIL000652,55.9
VIL000653,56.5
VIL000654,43.0
VIL000655,28.9
VIL000656,38.1
VIL000657,56.9
VIL000658,96.8
VIL000659,54.8
VIL000660,0.0
VIL000661,16.5
VIL000662,65.8
VIL000663,32.1
VIL000664,7.6
VIL000665,24.3
VIL000666,26.9
VIL000667,44.5
VIL000668,11.8
VIL000669,8.4
VIL000670,27.8
VIL000671,19.5
VIL000672,12.4
VIL000673,100.0
VIL000674,37.0
VIL000675,16.9
VIL000676,26.6
VIL000677,17.3
VIL000678,35.0
VIL000679,32.7
VIL000680,57.9
VIL000681,10.9
VIL000682,36.8
VIL000683,76.9
VIL000684,55.8
VIL000685,53.5
VIL000686,83.4
VIL000687,20.0
VIL000688,75.8
VIL000689,50.1
VIL000690,16.3
VIL000691,41.8
VIL000692,55.1
VIL000693,23.8
VIL000694,17.5
VIL000695,74.2
VIL000696,4.2
VIL000697,57.1
VIL000698,54.2
VIL000699,87.9
VIL000700,79.8
VIL000701,22.3
VIL000702,0.0
VIL000703,43.2
VIL000704,14.3
VIL000705,55.6
VIL000706,7.8
VIL000707,61.5
VIL000708,49.5
VIL000709,22.1
VIL000710,99.2
VIL000711,52.9
VIL000712,37.4
VIL000713,11.9
VIL000714,29.2
VIL000715,63.2
VIL000716,39.8
VIL000717,10.6
VIL000718,55.7
VIL000719,82.0
VIL000720,87.6
VIL000721,62.8
VIL000722,52.5
VIL000723,70.9
VIL000724,48.0
VIL000725,29.4
VIL000726,50.8
VIL000727,94.4
VIL000728,36.4
VIL000729,16.9
VIL000730,0.0
VIL000731,43.8
VIL000732,86.2
VIL000733,58.2
VIL000734,38.0
VIL000735,43.4
VIL000736,31.7
VIL000737,49.6
VIL000738,72.4
VIL000739,12.2
VIL000740,55.4
VIL000741,20.9
VIL000742,78.8
VIL000743,67.9
VIL000744,0.0
VIL000745,54.4
VIL000746,12.9
VIL000747,46.0
VIL000748,38.9
VIL000749,46.6
VIL000750,31.8
VIL000751,82.9
VIL000752,43.0
VIL000753,44.5
VIL000754,30.9
VIL000755,59.0
VIL000756,70.9
VIL000757,64.2
VIL000758,59.7
VIL000759,55.4
VIL000760,12.7
VIL000761,13.5
VIL000762,42.9
VIL000763,57.2
VIL000764,41.5
VIL000765,79.0
VIL000766,55.6
VIL000767,0.0
VIL000768,4.9
VIL000769,89.4
VIL000770,27.6
VIL000771,20.7
VIL000772,43.3
VIL000773,42.1
VIL000774,59.8
VIL000775,18.2
VIL000776,20.9
VIL000777,42.7
VIL000778,13.4
VIL000779,59.1
VIL000780,36.7
VIL000781,36.9
VIL000782,14.6
VIL000783,23.2
VIL000784,15.7
VIL000785,26.3
VIL000786,89.6
VIL000787,31.0
VIL000788,55.9
VIL000789,1.5
VIL000790,31.1
VIL000791,53.7
VIL000792,63.8
VIL000793,72.7
VIL000794,17.0
VIL000795,56.7
VIL000796,100.0
VIL000797,45.8
VIL000798,35.5
VIL000799,36.4
VIL000800,16.2
VIL000801,0.0
VIL000802,89.1
VIL000803,48.4
VIL000804,39.8
VIL000805,81.5
VIL000806,39.7
VIL000807,2.9
VIL000808,70.2
VIL000809,42.7
VIL000810,15.1
VIL000811,91.2
VIL000812,67.7
VIL000813,28.5
VIL000814,32.6
VIL000815,64.0
VIL000816,65.3
VIL000817,38.2
VIL000818,44.0
VIL000819,46.0
VIL000820,66.7
VIL000821,42.2
VIL000822,41.4
VIL000823,20.2
VIL000824,64.8
VIL000825,34.5
VIL000826,0.7
VIL000827,28.3
VIL000828,43.1
VIL000829,61.4
VIL000830,18.9
VIL000831,51.4
VIL000832,4.3
VIL000833,16.9
VIL000834,63.0
VIL000835,46.5
VIL000836,16.2
VIL000837,24.2
VIL000838,71.0
VIL000839,49.0
VIL000840,35.7
VIL000841,72.0
VIL000842,25.5
VIL000843,45.5
VIL000844,43.2
VIL000845,56.7
VIL000846,47.2
VIL000847,20.0
VIL000848,69.1
VIL000849,72.6
VIL000850,57.8
VIL000851,53.9
VIL000852,42.5
VIL000853,21.2
VIL000854,27.3
VIL000855,32.6
VIL000856,11.8
VIL000857,74.9
VIL000858,70.5
VIL000859,12.0
VIL000860,68.2
VIL000861,100.0
VIL000862,61.6
VIL000863,52.9
VIL000864,34.5
VIL000865,63.6
VIL000866,47.2
VIL000867,22.5
VIL000868,15.8
VIL000869,62.5
VIL000870,59.6
VIL000871,39.4
VIL000872,62.7
VIL000873,12.5
VIL000874,41.7
VIL000875,15.0
VIL000876,23.3
VIL000877,91.4
VIL000878,37.2
VIL000879,36.7
VIL000880,44.6
VIL000881,100.0
VIL000882,20.1
VIL000883,4.6
VIL000884,47.3
VIL000885,26.2
VIL000886,26.6
VIL000887,45.3
VIL000888,29.6
VIL000889,12.0
VIL000890,45.0
VIL000891,55.0
VIL000892,73.2
VIL000893,47.9
VIL000894,75.4
VIL000895,46.7
VIL000896,34.1
VIL000897,49.2
VIL000898,29.1
VIL000899,28.3
VIL000900,43.5
VIL000901,57.5
VIL000902,3.2
VIL000903,86.0
VIL000904,4.4
VIL000905,28.7
VIL000906,66.5
VIL000907,25.4
VIL000908,14.7
VIL000909,7.7
VIL000910,62.5
VIL000911,14.5
VIL000912,31.7
VIL000913,21.6
VIL000914,78.9
VIL000915,44.8
VIL000916,46.4
VIL000917,19.3
VIL000918,72.3
VIL000919,9.4
VIL000920,29.8
VIL000921,100.0
VIL000922,35.9
VIL000923,100.0
VIL000924,7.1
VIL000925,19.6
VIL000926,18.6
VIL000927,80.0
VIL000928,54.4
VIL000929,25.4
VIL000930,58.5
VIL000931,47.3
VIL000932,13.3
VIL000933,82.8
VIL000934,10.4
VIL000935,7.5
VIL000936,45.7
VIL000937,22.8
VIL000938,30.9
VIL000939,33.2
VIL000940,34.3
VIL000941,90.4
VIL000942,52.3
VIL000943,55.5
VIL000944,15.5
VIL000945,16.3
VIL000946,25.3
VIL000947,18.6
VIL000948,27.5
VIL000949,71.0
VIL000950,90.3
VIL000951,82.5
VIL000952,25.6
VIL000953,40.4
VIL000954,55.2
VIL000955,51.2
VIL000956,90.0
VIL000957,27.4
VIL000958,28.5
VIL000959,44.9
VIL000960,0.0
VIL000961,70.8
VIL000962,62.4
VIL000963,25.5
VIL000964,13.0
VIL000965,50.8
VIL000966,0.0
VIL000967,34.3
VIL000968,94.0
VIL000969,68.4
VIL000970,71.1
VIL000971,96.1
VIL000972,87.7
VIL000973,5.4
VIL000974,0.0
VIL000975,3.7
VIL000976,40.8
VIL000977,31.7
VIL000978,79.3
VIL000979,94.4
VIL000980,53.4
VIL000981,88.9
VIL000982,24.5
VIL000983,48.9
VIL000984,59.7
VIL000985,54.2
VIL000986,61.2
VIL000987,62.5
VIL000988,30.9
VIL000989,99.5
VIL000990,57.3
VIL000991,31.4
VIL000992,30.5
VIL000993,77.3
VIL000994,0.0
VIL000995,20.4
VIL000996,56.4
VIL000997,17.0
VIL000998,9.3
VIL000999,86.4
VIL001000,35.3
VIL001001,61.7
VIL001002,12.8
VIL001003,61.1
VIL001004,65.5
VIL001005,71.4
VIL001006,25.7
VIL001007,4.2
VIL001008,14.0
VIL001009,67.2
VIL001010,55.2
VIL001011,0.4
VIL001012,70.2
VIL001013,54.4
VIL001014,27.6
VIL001015,24.7
VIL001016,19.4
VIL001017,65.2
VIL001018,28.3
VIL001019,37.3
VIL001020,35.0
VIL001021,16.9
VIL001022,2.7
VIL001023,37.7
VIL001024,69.0
VIL001025,94.8
VIL001026,37.5
VIL001027,5.9
VIL001028,24.9
VIL001029,50.9
VIL001030,42.9
VIL001031,39.7
VIL001032,30.8
VIL001033,54.8
VIL001034,24.7
VIL001035,29.5
VIL001036,35.4
VIL001037,74.8
VIL001038,40.1
VIL001039,13.6
VIL001040,61.7
VIL001041,42.4
VIL001042,54.0
VIL001043,44.5
VIL001044,11.9
VIL001045,70.5
VIL001046,48.9
VIL001047,5.0
VIL001048,22.5
VIL001049,30.5
VIL001050,26.9
VIL001051,51.1
VIL001052,76.6
VIL001053,61.1
VIL001054,23.5
VIL001055,21.3
VIL001056,81.5
VIL001057,28.8
VIL001058,74.0
VIL001059,63.0
VIL001060,38.6
VIL001061,26.8
VIL001062,80.1
VIL001063,16.0
VIL001064,15.1
VIL001065,25.6
VIL001066,24.0
VIL001067,13.6
VIL001068,45.7
VIL001069,46.4
VIL001070,56.3
VIL001071,7.5
VIL001072,12.8
VIL001073,29.4
VIL001074,32.8
VIL001075,18.4
VIL001076,16.4
VIL001077,32.8
VIL001078,27.3
VIL001079,50.5
VIL001080,91.1
VIL001081,54.4
VIL001082,52.5
VIL001083,17.4
VIL001084,39.5
VIL001085,77.3
VIL001086,60.6
VIL001087,61.4
VIL001088,48.8
VIL001089,6.7
VIL001090,62.4
VIL001091,61.0
VIL001092,59.3
VIL001093,89.3
VIL001094,5.0
VIL001095,36.7
VIL001096,28.9
VIL001097,20.4
VIL001098,75.9
VIL001099,23.2
VIL001100,5.4
VIL001101,28.7
VIL001102,46.3
VIL001103,100.0
VIL001104,1.7
VIL001105,34.2
VIL001106,25.0
VIL001107,95.5
VIL001108,35.6
VIL001109,46.7
VIL001110,87.8
VIL001111,21.7
VIL001112,33.0
VIL001113,100.0
VIL001114,92.0
VIL001115,65.4
VIL001116,20.3
VIL001117,31.3
VIL001118,36.7
VIL001119,67.4
VIL001120,37.4
VIL001121,33.4
VIL001122,52.7
VIL001123,65.8
VIL001124,65.0
VIL001125,66.3
VIL001126,37.4
VIL001127,51.3
VIL001128,5.6
VIL001129,37.7
VIL001130,100.0
VIL001131,63.6
VIL001132,29.3
VIL001133,19.7
VIL001134,43.7
VIL001135,41.4
VIL001136,25.1
VIL001137,70.4
VIL001138,60.6
VIL001139,49.3
VIL001140,96.6
VIL001141,18.8
VIL001142,37.7
VIL001143,88.7
VIL001144,32.9
VIL001145,57.9
VIL001146,86.0
VIL001147,44.6
VIL001148,5.3
VIL001149,36.8
VIL001150,49.5
VIL001151,87.4
VIL001152,31.9
VIL001153,41.1
VIL001154,85.0
VIL001155,64.5
VIL001156,27.8
VIL001157,23.5
VIL001158,28.9
VIL001159,11.1
VIL001160,36.8
VIL001161,18.6
VIL001162,52.0
VIL001163,83.6
VIL001164,41.7
VIL001165,68.7
VIL001166,75.6
VIL001167,38.9
VIL001168,30.6
VIL001169,10.9
VIL001170,59.8
VIL001171,24.7
VIL001172,57.1
VIL001173,46.6
VIL001174,48.3
VIL001175,67.0
VIL001176,29.1
VIL001177,54.1
VIL001178,84.0
VIL001179,59.0
VIL001180,16.6
VIL001181,51.3
VIL001182,93.2
VIL001183,47.3
VIL001184,33.5
VIL001185,90.2
VIL001186,7.8
VIL001187,61.5
VIL001188,26.0
VIL001189,41.5
VIL001190,39.3
VIL001191,98.2
VIL001192,50.5
VIL001193,46.5
VIL001194,43.5
VIL001195,36.4
VIL001196,46.4
VIL001197,16.4
VIL001198,69.7
VIL001199,54.0
VIL001200,92.5
VIL001201,11.5
VIL001202,12.2
VIL001203,57.3
VIL001204,42.0
VIL001205,49.6
VIL001206,14.2
VIL001207,75.7
VIL001208,42.9
VIL001209,52.4
VIL001210,22.2
VIL001211,90.3
VIL001212,45.9
VIL001213,71.2
VIL001214,33.5
VIL001215,32.2
VIL001216,37.0
VIL001217,7.7
VIL001218,45.2
VIL001219,9.2
VIL001220,8.8
VIL001221,34.0
VIL001222,90.3
VIL001223,91.6
VIL001224,42.2
VIL001225,97.9
VIL001226,31.2
VIL001227,28.4
VIL001228,44.7
VIL001229,32.5
VIL001230,0.0
VIL001231,36.5
VIL001232,37.4
VIL001233,41.3
VIL001234,99.1
VIL001235,45.9
VIL001236,45.8
VIL001237,47.1
VIL001238,16.8
VIL001239,31.4
VIL001240,33.2
VIL001241,52.7
VIL001242,85.0
VIL001243,42.2
VIL001244,70.8
VIL001245,48.6
VIL001246,31.1
VIL001247,8.7
VIL001248,54.1
VIL001249,37.1
VIL001250,67.4
VIL001251,93.5
VIL001252,34.5
VIL001253,21.2
VIL001254,46.2
VIL001255,75.3
VIL001256,28.0
VIL001257,100.0
VIL001258,14.0
VIL001259,84.4
VIL001260,41.5
VIL001261,33.9
VIL001262,51.1
VIL001263,74.5
VIL001264,30.2
VIL001265,38.7
VIL001266,26.3
VIL001267,92.9
VIL001268,49.9
VIL001269,34.5
VIL001270,22.0
VIL001271,36.5
VIL001272,100.0
VIL001273,38.0
VIL001274,74.8
VIL001275,12.9
VIL001276,21.9
VIL001277,23.1
VIL001278,5.2
VIL001279,67.9
VIL001280,79.9
VIL001281,0.0
VIL001282,72.7
VIL001283,35.1
VIL001284,8.3
VIL001285,44.2
VIL001286,56.0
VIL001287,16.0
VIL001288,16.4
VIL001289,28.8
VIL001290,51.4
VIL001291,37.8
VIL001292,54.4
VIL001293,20.9
VIL001294,61.7
VIL001295,27.2
VIL001296,45.2
VIL001297,59.0
VIL001298,73.3
VIL001299,39.6
VIL001300,53.8
VIL001301,83.4
VIL001302,47.3
VIL001303,71.9
VIL001304,43.6
VIL001305,44.2
VIL001306,55.7
VIL001307,79.6
VIL001308,25.9
VIL001309,79.5
VIL001310,17.5
VIL001311,54.2
VIL001312,87.9
VIL001313,100.0
VIL001314,81.1
VIL001315,40.5
VIL001316,82.6
VIL001317,35.6
VIL001318,29.7
VIL001319,34.0
VIL001320,13.4
VIL001321,40.2
VIL001322,17.2
VIL001323,15.5
VIL001324,57.2
VIL001325,60.4
VIL001326,33.2
VIL001327,83.0
VIL001328,52.6
VIL001329,59.0
VIL001330,67.2
VIL001331,52.9
VIL001332,10.0
VIL001333,13.7
VIL001334,2.5
VIL001335,88.3
VIL001336,25.1
VIL001337,5.4
VIL001338,51.5
VIL001339,36.3
VIL001340,17.1
VIL001341,58.4
VIL001342,40.4
VIL001343,84.3
VIL001344,76.8
VIL001345,19.3
VIL001346,14.7
VIL001347,46.2
VIL001348,6.2
VIL001349,22.8
VIL001350,16.0
VIL001351,75.5
VIL001352,68.9
VIL001353,67.3
VIL001354,43.5
VIL001355,31.7
VIL001356,41.3
VIL001357,23.3
VIL001358,30.0
VIL001359,84.7
VIL001360,27.8
VIL001361,21.8
VIL001362,75.5
VIL001363,91.1
VIL001364,54.3
VIL001365,16.0
VIL001366,20.7
VIL001367,1.8
VIL001368,52.0
VIL001369,32.7
VIL001370,24.0
VIL001371,42.0
VIL001372,23.8
VIL001373,52.8
VIL001374,46.4
VIL001375,24.3
VIL001376,57.0
VIL001377,53.8
VIL001378,4.5
VIL001379,72.7
VIL001380,39.8
VIL001381,19.2
VIL001382,37.2
VIL001383,51.0
VIL001384,89.7
VIL001385,67.7
VIL001386,61.3
VIL001387,7.8
VIL001388,21.5
VIL001389,64.6
VIL001390,38.3
VIL001391,15.0
VIL001392,41.9
VIL001393,65.1
VIL001394,0.0
VIL001395,44.4
