village_id,pmay_beneficiaries_per_1000hh
VIL000360,86.4
VIL000361,34.6
VIL000362,95.5
VIL000363,194.4
VIL000364,155.2
VIL000365,211.1
VIL000366,92.1
VIL000367,47.8
VIL000368,185.8
VIL000369,87.2
VIL000370,218.3
VIL000371,105.2
VIL000372,122.2
VIL000373,15.2
VIL000374,211.5
VIL000375,88.5
VIL000376,184.6
VIL000377,167.0
VIL000378,114.8
VIL000379,90.1
VIL000380,220.1
VIL000381,25.6
VIL000382,121.0
VIL000383,77.8
VIL000384,20.7
VIL000385,258.3
VIL000386,78.8
VIL000387,122.5
VIL000388,86.6
VIL000389,54.3
VIL000390,75.6
VIL000391,264.2
VIL000392,221.9
VIL000393,116.7
VIL000394,98.8
VIL000395,150.3
VIL000396,154.0
VIL000397,106.1
VIL000398,94.3
VIL000399,97.2
VIL000400,182.8
VIL000401,0.0
VIL000402,269.8
VIL000403,31.6
VIL000404,5.1
VIL000405,61.2
VIL000406,145.6
VIL000407,247.4
VIL000408,82.1
VIL000409,152.9
VIL000410,76.2
VIL000411,23.1
VIL000412,18.1
VIL000413,79.5
VIL000414,94.3
VIL000415,163.8
VIL000416,114.5
VIL000417,93.7
VIL000418,52.6
VIL000419,2.7
VIL000420,201.7
VIL000421,107.9
VIL000422,254.7
VIL000423,248.6
VIL000424,133.0
VIL000425,78.2
VIL000426,233.8
VIL000427,42.4
VIL000428,74.5
VIL000429,245.5
VIL000430,185.5
VIL000431,11.2
VIL000432,69.0
VIL000433,173.5
VIL000434,264.7
VIL000435,40.4
VIL000436,240.8
VIL000437,42.0
VIL000438,71.0
VIL000439,141.8
VIL000440,115.2
VIL000441,76.3
VIL000442,58.2
VIL000443,79.4
VIL000444,104.8
VIL000445,16.9
VIL000446,99.3
VIL000447,72.6
VIL000448,212.8
VIL000449,215.4
VIL000450,80.3
VIL000451,100.9
VIL000452,132.5
VIL000453,66.9
VIL000454,140.2
VIL000455,83.5
VIL000456,118.1
VIL000457,153.1
VIL000458,105.5
VIL000459,173.5
VIL000460,116.8
VIL000461,39.9
VIL000462,79.4
VIL000463,60.9
VIL000464,75.0
VIL000465,128.7
VIL000466,0.0
VIL000467,61.6
VIL000468,125.2
VIL000469,36.3
VIL000470,152.4
VIL000471,28.5
VIL000472,113.0
VIL000473,99.6
VIL000474,171.4
VIL000475,48.3
VIL000476,250.6
VIL000477,212.7
VIL000478,61.7
VIL000479,136.7
VIL000480,15.6
VIL000481,23.4
VIL000482,177.3
VIL000483,99.0
VIL000484,53.9
VIL000485,62.8
VIL000486,205.9
VIL000487,0.0
VIL000488,77.2
VIL000489,53.4
VIL000490,107.9
VIL000491,88.2
VIL000492,101.9
VIL000493,163.1
VIL000494,140.9
VIL000495,135.9
VIL000496,96.7
VIL000497,255.5
VIL000498,18.9
VIL000499,0.0
VIL000500,109.0
VIL000501,118.0
VIL000502,54.3
VIL000503,82.0
VIL000504,54.9
VIL000505,163.7
VIL000506,31.3
VIL000507,97.5
VIL000508,20.9
VIL000509,104.8
VIL000510,99.7
VIL000511,42.7
VIL000512,182.8
VIL000513,90.2
VIL000514,78.2
VIL000515,109.1
VIL000516,186.5
VIL000517,51.2
VIL000518,33.4
VIL000519,143.8
VIL000520,101.9
VIL000521,88.9
VIL000522,26.4
VIL000523,126.9
VIL000524,137.6
VIL000525,138.9
VIL000526,242.4
VIL000527,72.0
VIL000528,170.6
VIL000529,92.4
VIL000530,36.1
VIL000531,63.2
VIL000532,26.8
VIL000533,135.3
VIL000534,108.0
VIL000535,200.5
VIL000536,145.4
VIL000537,178.7
VIL000538,191.2
VIL000539,191.0
VIL000540,45.6
VIL000541,84.0
VIL000542,251.5
VIL000543,62.2
VIL000544,57.1
VIL000545,203.7
VIL000546,222.2
VIL000547,154.8
VIL000548,153.8
VIL000549,138.8
VIL000550,238.4
VIL000551,196.9
VIL000552,246.4
VIL000553,241.6
VIL000554,91.3
VIL000555,164.9
VIL000556,98.1
VIL000557,196.9
VIL000558,121.4
VIL000559,78.9
VIL000560,65.2
VIL000561,141.2
VIL000562,216.6
VIL000563,271.3
VIL000564,96.4
VIL000565,78.8
VIL000566,175.3
VIL000567,197.1
VIL000568,51.2
VIL000569,143.7
VIL000570,194.8
VIL000571,237.5
VIL000572,201.7
VIL000573,60.0
VIL000574,98.6
VIL000575,90.7
VIL000576,223.3
VIL000577,40.2
VIL000578,226.3
VIL000579,248.8
VIL000580,149.2
VIL000581,133.2
VIL000582,111.1
VIL000583,97.2
VIL000584,17.3
VIL000585,123.4
VIL000586,258.1
VIL000587,184.8
VIL000588,106.1
VIL000589,126.4
VIL000590,183.4
VIL000591,17.6
VIL000592,259.3
VIL000593,0.0
VIL000594,152.4
VIL000595,122.5
VIL000596,2.6
VIL000597,220.8
VIL000598,197.0
VIL000599,152.1
VIL000600,241.4
VIL000601,81.9
VIL000602,105.7
VIL000603,143.1
VIL000604,175.9
VIL000605,88.9
VIL000606,119.2
VIL000607,109.7
VIL000608,148.0
VIL000609,3.6
VIL000610,215.1
VIL000611,231.1
VIL000612,137.5
VIL000613,159.5
VIL000614,19.5
VIL000615,110.3
VIL000616,123.8
VIL000617,87.6
VIL000618,174.9
VIL000619,57.9
VIL000620,194.2
VIL000621,211.7
VIL000622,161.7
VIL000623,225.0
VIL000624,105.7
VIL000625,60.5
VIL000626,119.3
VIL000627,87.4
VIL000628,137.6
VIL000629,211.9
VIL000630,116.3
VIL000631,113.3
VIL000632,100.9
VIL000633,116.2
VIL000634,96.2
VIL000635,232.5
VIL000636,186.7
VIL000637,260.0
VIL000638,112.2
VIL000639,187.1
VIL000640,187.1
VIL000641,33.4
VIL000642,90.7
VIL000643,93.3
VIL000644,117.0
VIL000645,69.6
VIL000646,27.7
VIL000647,128.1
VIL000648,78.2
VIL000649,125.1
VIL000650,242.0
VIL000651,237.2
VIL000652,52.6
VIL000653,94.3
VIL000654,146.6
VIL000655,104.4
VIL000656,87.9
VIL000657,89.4
VIL000658,27.4
VIL000659,44.7
VIL000660,115.7
VIL000661,36.6
VIL000662,68.3
VIL000663,100.2
VIL000664,123.6
VIL000665,111.5
VIL000666,206.9
VIL000667,119.0
VIL000668,84.1
VIL000669,93.3
VIL000670,156.1
VIL000671,134.2
VIL000672,141.2
VIL000673,109.8
VIL000674,131.4
VIL000675,109.8
VIL000676,116.3
VIL000677,181.6
VIL000678,43.7
VIL000679,178.8
VIL000680,26.1
VIL000681,155.5
VIL000682,177.2
VIL000683,38.2
VIL000684,92.5
VIL000685,105.5
VIL000686,0.0
VIL000687,40.8
VIL000688,35.8
VIL000689,135.5
VIL000690,15.5
VIL000691,90.7
VIL000692,158.4
VIL000693,223.1
VIL000694,169.8
VIL000695,8.6
VIL000696,45.9
VIL000697,0.0
VIL000698,120.4
VIL000699,115.5
VIL000700,137.9
VIL000701,124.5
VIL000702,55.8
VIL000703,188.9
VIL000704,198.8
VIL000705,64.4
VIL000706,0.0
VIL000707,49.2
VIL000708,169.4
VIL000709,70.3
VIL000710,25.8
VIL000711,74.6
VIL000712,198.9
VIL000713,116.7
VIL000714,52.3
VIL000715,221.6
VIL000716,63.0
VIL000717,56.3
VIL000718,219.8
VIL000719,119.8
VIL000720,171.9
VIL000721,145.3
VIL000722,247.4
VIL000723,95.6
VIL000724,71.7
VIL000725,203.7
VIL000726,142.2
VIL000727,174.4
VIL000728,142.1
VIL000729,160.6
VIL000730,130.3
VIL000731,26.3
VIL000732,84.4
VIL000733,158.7
VIL000734,213.5
VIL000735,86.2
VIL000736,103.9
VIL000737,126.8
VIL000738,196.9
VIL000739,164.4
VIL000740,170.1
VIL000741,95.2
VIL000742,87.1
VIL000743,192.8
VIL000744,116.5
VIL000745,69.8
VIL000746,217.4
VIL000747,168.4
VIL000748,21.3
VIL000749,39.1
VIL000750,211.1
VIL000751,215.2
VIL000752,66.4
VIL000753,73.8
VIL000754,127.4
VIL000755,114.9
VIL000756,96.6
VIL000757,236.1
VIL000758,107.3
VIL000759,107.3
VIL000760,185.9
VIL000761,35.2
VIL000762,123.3
VIL000763,89.7
VIL000764,172.1
VIL000765,128.2
VIL000766,76.4
VIL000767,95.4
VIL000768,87.9
VIL000769,73.7
VIL000770,180.1
VIL000771,204.5
VIL000772,222.3
VIL000773,146.9
VIL000774,95.4
VIL000775,191.6
VIL000776,113.8
VIL000777,46.8
VIL000778,21.2
VIL000779,133.0
VIL000780,2.2
VIL000781,249.9
VIL000782,196.0
VIL000783,98.5
VIL000784,122.6
VIL000785,65.7
VIL000786,109.4
VIL000787,124.1
VIL000788,154.3
VIL000789,14.5
VIL000790,205.8
VIL000791,36.6
VIL000792,183.4
VIL000793,81.5
VIL000794,180.2
VIL000795,63.8
VIL000796,231.6
VIL000797,226.6
VIL000798,114.8
VIL000799,79.5
VIL000800,60.8
VIL000801,228.2
VIL000802,5.1
VIL000803,39.3
VIL000804,109.5
VIL000805,61.5
VIL000806,113.6
VIL000807,91.3
VIL000808,93.9
VIL000809,253.2
VIL000810,41.5
VIL000811,29.8
VIL000812,268.8
VIL000813,120.5
VIL000814,88.2
VIL000815,261.9
VIL000816,53.4
VIL000817,252.7
VIL000818,241.9
VIL000819,98.8
VIL000820,239.6
VIL000821,270.4
VIL000822,99.1
VIL000823,113.1
VIL000824,137.5
VIL000825,34.0
VIL000826,78.0
VIL000827,116.3
VIL000828,62.5
VIL000829,95.1
VIL000830,232.8
VIL000831,147.5
VIL000832,147.9
VIL000833,117.4
VIL000834,153.6
VIL000835,218.2
VIL000836,26.9
VIL000837,179.6
VIL000838,31.2
VIL000839,83.0
VIL000840,173.6
VIL000841,29.0
VIL000842,203.4
VIL000843,122.4
VIL000844,204.7
VIL000845,181.1
VIL000846,89.7
VIL000847,68.6
VIL000848,209.7
VIL000849,99.6
VIL000850,125.3
VIL000851,105.7
VIL000852,166.3
VIL000853,15.3
VIL000854,97.4
VIL000855,177.0
VIL000856,130.5
VIL000857,157.4
VIL000858,224.5
VIL000859,148.7
VIL000860,194.7
VIL000861,84.7
VIL000862,202.5
VIL000863,185.7
VIL000864,117.9
VIL000865,83.7
VIL000866,148.1
VIL000867,91.5
VIL000868,97.6
VIL000869,90.4
VIL000870,166.2
VIL000871,96.3
VIL000872,65.3
VIL000873,152.6
VIL000874,233.8
VIL000875,180.4
VIL000876,63.1
VIL000877,101.5
VIL000878,182.7
VIL000879,158.5
VIL000880,236.8
VIL000881,31.5
VIL000882,110.1
VIL000883,147.1
VIL000884,229.9
VIL000885,211.6
VIL000886,30.3
VIL000887,183.9
VIL000888,131.7
VIL000889,136.0
VIL000890,21.9
VIL000891,160.1
VIL000892,65.0
VIL000893,90.4
VIL000894,88.3
VIL000895,58.3
VIL000896,68.4
VIL000897,84.3
VIL000898,98.0
VIL000899,170.1
VIL000900,202.1
VIL000901,259.3
VIL000902,174.7
VIL000903,102.1
VIL000904,84.4
VIL000905,71.5
VIL000906,81.0
VIL000907,60.1
VIL000908,234.0
VIL000909,210.1
VIL000910,41.3
VIL000911,97.1
VIL000912,18.0
VIL000913,167.1
VIL000914,262.8
VIL000915,61.0
VIL000916,99.8
VIL000917,50.4
VIL000918,32.0
VIL000919,178.2
VIL000920,0.0
VIL000921,123.9
VIL000922,0.0
VIL000923,202.0
VIL000924,99.5
VIL000925,160.4
VIL000926,56.3
VIL000927,78.2
VIL000928,1.3
VIL000929,234.3
VIL000930,227.5
VIL000931,40.0
VIL000932,147.6
VIL000933,75.5
VIL000934,262.6
VIL000935,64.3
VIL000936,177.3
VIL000937,74.8
VIL000938,222.6
VIL000939,114.3
VIL000940,7.9
VIL000941,93.9
VIL000942,22.1
VIL000943,77.5
VIL000944,139.9
VIL000945,151.0
VIL000946,181.7
VIL000947,67.3
VIL000948,85.0
VIL000949,10.9
VIL000950,129.1
VIL000951,132.2
VIL000952,149.4
VIL000953,69.4
VIL000954,165.4
VIL000955,135.8
VIL000956,133.3
VIL000957,173.4
VIL000958,169.3
VIL000959,102.1
VIL000960,188.1
VIL000961,88.9
VIL000962,130.7
VIL000963,88.4
VIL000964,3.7
VIL000965,85.9
VIL000966,0.0
VIL000967,100.5
VIL000968,25.4
VIL000969,149.6
VIL000970,27.4
VIL000971,119.3
VIL000972,22.6
VIL000973,192.2
VIL000974,87.2
VIL000975,112.4
VIL000976,43.1
VIL000977,160.1
VIL000978,173.4
VIL000979,29.9
VIL000980,107.3
VIL000981,222.6
VIL000982,109.0
VIL000983,259.4
VIL000984,35.1
VIL000985,103.0
VIL000986,17.3
VIL000987,199.4
VIL000988,159.5
VIL000989,32.6
VIL000990,170.5
VIL000991,72.1
VIL000992,112.9
VIL000993,55.4
VIL000994,177.8
VIL000995,137.3
VIL000996,7.3
VIL000997,62.6
VIL000998,73.9
VIL000999,204.1
VIL001000,213.4
VIL001001,200.1
VIL001002,71.4
VIL001003,80.8
VIL001004,57.9
VIL001005,59.2
VIL001006,32.8
VIL001007,104.7
VIL001008,202.3
VIL001009,253.8
VIL001010,104.8
VIL001011,106.1
VIL001012,190.2
VIL001013,257.8
VIL001014,45.9
VIL001015,13.1
VIL001016,173.8
VIL001017,30.8
VIL001018,56.0
VIL001019,178.2
VIL001020,23.9
VIL001021,60.0
VIL001022,43.1
VIL001023,50.4
VIL001024,102.4
VIL001025,192.3
VIL001026,213.0
VIL001027,172.3
VIL001028,10.0
VIL001029,28.0
VIL001030,221.7
VIL001031,109.7
VIL001032,167.5
VIL001033,151.9
VIL001034,215.9
VIL001035,91.7
VIL001036,68.9
VIL001037,4.2
VIL001038,199.8
VIL001039,44.8
VIL001040,140.9
VIL001041,150.0
VIL001042,79.9
VIL001043,82.7
VIL001044,14.2
VIL001045,14.2
VIL001046,231.4
VIL001047,136.1
VIL001048,69.7
VIL001049,218.5
VIL001050,84.3
VIL001051,200.2
VIL001052,208.4
VIL001053,205.8
VIL001054,81.1
VIL001055,71.5
VIL001056,122.3
VIL001057,87.0
VIL001058,111.8
VIL001059,98.8
VIL001060,84.6
VIL001061,99.1
VIL001062,0.7
VIL001063,90.4
VIL001064,149.7
VIL001065,115.0
VIL001066,215.9
VIL001067,208.0
VIL001068,136.8
VIL001069,113.1
VIL001070,86.7
VIL001071,172.7
VIL001072,228.8
VIL001073,231.1
VIL001074,81.5
VIL001075,210.1
VIL001076,85.9
VIL001077,42.1
VIL001078,134.9
VIL001079,57.2
VIL001080,217.0
VIL001081,165.7
VIL001082,98.6
VIL001083,110.3
VIL001084,114.3
VIL001085,250.5
VIL001086,94.8
VIL001087,159.9
VIL001088,56.7
VIL001089,234.7
VIL001090,78.6
VIL001091,60.7
VIL001092,40.0
VIL001093,225.7
VIL001094,77.6
VIL001095,151.4
VIL001096,82.6
VIL001097,217.0
VIL001098,95.8
VIL001099,29.8
VIL001100,261.0
VIL001101,0.0
VIL001102,68.9
VIL001103,261.6
VIL001104,69.2
VIL001105,133.9
VIL001106,153.3
VIL001107,41.1
VIL001108,26.7
VIL001109,173.3
VIL001110,79.9
VIL001111,119.3
VIL001112,71.9
VIL001113,104.4
VIL001114,108.9
VIL001115,123.1
VIL001116,153.3
VIL001117,85.2
VIL001118,90.0
VIL001119,161.5
VIL001120,63.1
VIL001121,60.8
VIL001122,230.6
VIL001123,123.2
VIL001124,87.0
VIL001125,167.7
VIL001126,104.9
VIL001127,61.2
VIL001128,215.0
VIL001129,137.6
VIL001130,114.4
VIL001131,130.6
VIL001132,203.0
VIL001133,171.1
VIL001134,112.6
VIL001135,190.8
VIL001136,233.7
VIL001137,252.9
VIL001138,249.5
VIL001139,85.2
VIL001140,72.9
VIL001141,37.5
VIL001142,120.3
VIL001143,202.8
VIL001144,0.0
VIL001145,28.3
VIL001146,202.8
VIL001147,115.1
VIL001148,106.7
VIL001149,135.4
VIL001150,15.6
VIL001151,122.8
VIL001152,97.1
VIL001153,72.5
VIL001154,47.6
VIL001155,77.0
VIL001156,93.9
VIL001157,2.7
VIL001158,35.8
VIL001159,230.0
VIL001160,0.3
VIL001161,154.0
VIL001162,98.3
VIL001163,106.1
VIL001164,113.1
VIL001165,82.2
VIL001166,83.2
VIL001167,195.1
VIL001168,162.0
VIL001169,33.6
VIL001170,81.3
VIL001171,81.8
VIL001172,89.9
VIL001173,148.1
VIL001174,125.6
VIL001175,249.1
VIL001176,125.4
VIL001177,111.2
VIL001178,111.8
VIL001179,191.9
VIL001180,56.7
VIL001181,101.6
VIL001182,63.0
VIL001183,117.6
VIL001184,205.3
VIL001185,137.4
VIL001186,76.6
VIL001187,236.1
VIL001188,75.7
VIL001189,40.0
VIL001190,152.9
VIL001191,30.3
VIL001192,87.2
VIL001193,74.1
VIL001194,187.7
VIL001195,113.7
VIL001196,33.8
VIL001197,1.5
VIL001198,31.4
VIL001199,197.0
VIL001200,102.0
VIL001201,193.2
VIL001202,67.1
VIL001203,85.1
VIL001204,143.9
VIL001205,124.1
VIL001206,80.5
VIL001207,207.0
VIL001208,84.2
VIL001209,116.3
VIL001210,100.7
VIL001211,96.8
VIL001212,198.0
VIL001213,212.2
VIL001214,22.1
VIL001215,104.4
VIL001216,252.6
VIL001217,28.8
VIL001218,118.3
VIL001219,53.1
VIL001220,84.5
VIL001221,149.4
VIL001222,140.7
VIL001223,151.4
VIL001224,144.5
VIL001225,0.0
VIL001226,117.1
VIL001227,82.4
VIL001228,124.2
VIL001229,138.0
VIL001230,38.6
VIL001231,251.2
VIL001232,180.3
VIL001233,210.8
VIL001234,55.5
VIL001235,210.1
VIL001236,87.5
VIL001237,129.6
VIL001238,83.6
VIL001239,221.8
VIL001240,107.5
VIL001241,256.5
VIL001242,131.0
VIL001243,183.8
VIL001244,96.2
VIL001245,0.0
VIL001246,243.7
VIL001247,112.4
VIL001248,13.9
VIL001249,42.6
VIL001250,232.6
VIL001251,82.0
VIL001252,175.9
VIL001253,188.6
VIL001254,48.4
VIL001255,187.2
VIL001256,221.2
VIL001257,123.5
VIL001258,129.9
VIL001259,82.9
VIL001260,96.0
VIL001261,112.1
VIL001262,0.0
VIL001263,95.3
VIL001264,171.2
VIL001265,195.3
VIL001266,81.2
VIL001267,242.0
VIL001268,77.0
VIL001269,58.6
VIL001270,104.0
VIL001271,220.1
VIL001272,234.6
VIL001273,141.2
VIL001274,185.3
VIL001275,120.4
VIL001276,115.3
VIL001277,93.3
VIL001278,146.9
VIL001279,215.2
VIL001280,123.1
VIL001281,110.3
VIL001282,101.6
VIL001283,164.2
VIL001284,16.1
VIL001285,113.4
VIL001286,122.7
VIL001287,74.7
VIL001288,260.2
VIL001289,223.7
VIL001290,210.9
VIL001291,194.4
VIL001292,49.9
VIL001293,32.9
VIL001294,99.0
VIL001295,197.2
VIL001296,218.3
VIL001297,172.6
VIL001298,17.4
VIL001299,124.0
VIL001300,155.4
VIL001301,117.1
VIL001302,260.3
VIL001303,228.1
VIL001304,93.1
VIL001305,116.5
VIL001306,97.6
VIL001307,129.0
VIL001308,106.1
VIL001309,76.0
VIL001310,177.5
VIL001311,2.9
VIL001312,153.0
VIL001313,31.2
VIL001314,212.5
VIL001315,58.6
VIL001316,187.3
VIL001317,146.4
VIL001318,250.4
VIL001319,124.3
VIL001320,108.2
VIL001321,191.3
VIL001322,67.8
VIL001323,146.4
VIL001324,84.2
VIL001325,101.8
VIL001326,225.9
VIL001327,212.0
VIL001328,11.8
VIL001329,100.9
VIL001330,197.6
VIL001331,0.0
VIL001332,185.1
VIL001333,0.0
VIL001334,23.1
VIL001335,71.1
VIL001336,238.0
VIL001337,1.9
VIL001338,167.5
VIL001339,179.3
VIL001340,181.7
VIL001341,174.4
VIL001342,272.7
VIL001343,68.7
VIL001344,39.5
VIL001345,237.0
VIL001346,85.2
VIL001347,167.0
VIL001348,35.1
VIL001349,197.7
VIL001350,81.7
VIL001351,15.5
VIL001352,97.7
VIL001353,88.6
VIL001354,136.5
VIL001355,107.3
VIL001356,74.1
VIL001357,79.0
VIL001358,57.0
VIL001359,85.9
VIL001360,37.0
VIL001361,146.9
VIL001362,21.0
VIL001363,21.5
VIL001364,127.0
VIL001365,196.0
VIL001366,85.5
VIL001367,92.0
VIL001368,91.2
VIL001369,105.4
VIL001370,0.0
VIL001371,173.4
VIL001372,94.0
VIL001373,109.8
VIL001374,187.6
VIL001375,73.1
VIL001376,230.1
VIL001377,256.0
VIL001378,98.3
VIL001379,124.9
VIL001380,203.3
VIL001381,132.9
VIL001382,108.2
VIL001383,243.8
VIL001384,38.9
VIL001385,92.7
VIL001386,246.5
VIL001387,99.9
VIL001388,28.1
VIL001389,237.9
VIL001390,239.3
VIL001391,171.2
VIL001392,213.2
VIL001393,156.3
VIL001394,60.0
